LOC_ID,ID_Provincia,CPA,Localidad,Provincia,Departamento,Long,Lat,noLNG,noLAT,ID_GEO,DeptoID,observaciones,fuente coordenadas
4391,A,A4400TPL,EL TIPAL,SALTA,CHICOANA,"-65,5333","-25,0667","-65,53334","-25,06667",14140,A16,,coincidentes varias bases
21985,A,A4423,LOS LOS,SALTA,CHICOANA,"-65,5458","-25,0917",,,14454,A16,,
4427,A,A4421CHI,SAN ANTONIO CHICOANA,SALTA,CHICOANA,"-65,5097","-25,3042","-65,02838","-24,75068",14770,A16,San Antonio El Carril,mapawi
19574,A,A4423X2V,VIÑACO,SALTA,CHICOANA,"-65,4333","-25,1621","-65,51556","-25,16207",14988,A16,Arroyo de Viñaco,dices.net
4205,A,A4430GUE,GENERAL GUEMES,SALTA,GENERAL GUEMES,"-65,0500","-24,6667","-65,05","-24,66667",14200,A11,,acageopc
21955,A,A4430,LAS VERTIENTES SANTA RITA DE,SALTA,GENERAL GUEMES,"-65,05","-24,66667",0,0,14424,A11,COORDENADAS GENERAL GUEMES,WIKIPEDIA
2664,A,A4566AGU,AGUARAY,SALTA,GENERAL JOSE DE SAN MARTIN,"-63,7333","-22,2667","-63,76667","-22,26667",13791,A2,,coincidentes varias bases
4528,A,A4563CVP,CAMPAMENTO VESPUSIO,SALTA,GENERAL JOSE DE SAN MARTIN,"-63,4976","-22,3655","-63,83333","-22,61667",13894,A2,,coincidentes varias bases
20590,A,A4430B5S,EL ESPINILLO,SALTA,GENERAL JOSE DE SAN MARTIN,"-63,2167","-23,4143","-62,61666","-23,9",14064,A2,,coincidentes varias bases
4440,A,A4562GEM,GRAL. ENRIQUE MOSCONI,SALTA,GENERAL JOSE DE SAN MARTIN,"-63,8167","-22,6000","-63,81683","-22,59888",14199,A2,,coincidentes varias bases
18751,A,A4568Y7U,SALVADOR MAZZA,SALTA,GENERAL JOSE DE SAN MARTIN,"-63,6797","-22,0148","-63,67967","-22,01476",14762,A2,Salvador Mazza o Profesor Salvador Mazza o Pocitos,acageopc
